ELEMENTO,CARA,FORMATO,TIPO,DEPARTAMENTO,DISTRITO,DIRECCION_COMERCIAL,TRANSITO,REFERENCIA,ANCHO,ALTO,resolution_width,resolution_height,LATITUD,LONGITUD,OBSERVACION,AUDIENCIA,photo_url,slot_duration_seconds
AGS-006,A,Pantalla Digital,DIGITAL,Lima,El Agustino,Vía Evitamiento ,Hacia el sur con dirección al puente Santa Anita,Frente a Puente Nuevo próximo a Sodimac de San Juan de Lurigancho,"12,00","6,00",1280,720,"-12,0303690","-77,0000140",,16.599.236,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/AGS-006%20A.webp,7
ANT-001,B,Pantalla Digital,DIGITAL,Lima,Santa Anita,Av. Nicolás Ayllón (Carretera Central) ,Hacia el Óvalo Santa Anita.,Frente a Centro Comercial Santa Anita puerta principal Saga Falabella.,"12,10","6,05",1280,720,"-12,0571910","-76,9709540",Presenta fallas,16.910.554,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ANT-001%20B.webp,7
ANT-004,A,Pantalla Digital,DIGITAL,Lima,Santa Anita,Av. Nicolas Ayllon (Carretera Central),Hacia Vía Evitamiento con dirección al distrito de El Agustino,Frente al Centro Comercial Mall Aventura Ripley Sagafalabella Bancos y más,"8,96","3,84",1280,720,"-12,0568523","-76,9699033",,13.927.170,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ANT-004%20A.webp,7
ARQ-044,A,Pantalla Digital,DIGITAL,Arequipa,-,Av. Ejército,Hacia Av. La Marina con dirección a la Plaza de armas y Monasterio Santa Catalina,A 2 cdras. Del Real Plaza / Mall Plaza Cayma / Metro / Plaza Vea.,"10,80","5,40",1280,672,"-16,3911310","-71,5433540",,4.433.666,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-044%20A.webp,7
ARQ-046,A,Pantalla Digital,DIGITAL,Arequipa,-,Av. Los Incas ,Hacia Av. Jesús con dirección a Paucarpata.,Frente a la puerta principal del Centro Comercial y Parque Lambramani.,"8,00","4,00",1280,720,"-16,4108478","-71,5203060",,2.876.974,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-046%20A.webp,7
ARQ-051,A,Pantalla Digital,DIGITAL,Arequipa,-,Av. El Ejército Cuadra 7 - Yanahuara,Hacia Av. Cayma con dirección al C.C Real Plaza,Frente al C.C Mall Plaza Cayma y Hotel Paititi rodeado de diversos negocios locales,"9,60","4,80",1280,720,"-16,3904345","-71,5455971",,4.244.803,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-051%20A.webp,7
ARQ-052,A,Pantalla Digital,DIGITAL,Arequipa,-,Óvalo Quiñones,Hacia Av. La Marina con dirección a la Plaza de Armas,Óvalo Quiñones frente a Red de Bancos y rodeado de diversos negocios locales,"7,68","3,84",1280,720,"-16,3972710","-71,5472330",,3.869.953,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-052%20A.webp,7
ARQ-055,A,Pantalla Digital,DIGITAL,Arequipa,-,Av. Porongoche Cdra. 5,Hacia Av. Los Incas con dirección al Distrito de Mariano Melgar,"Frente al Mall Aventura Plaza, HM y  al costado de estilos","12,80","7,70",1280,720,"-16,4164748","-71,5155245",,3.690.896,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-055%20A.webp,7
ARQ-060,A,Pantalla Digital,DIGITAL,Arequipa,-,Av. Jesús Cdra. 1 Berma Central,Hacia Estadio Arequipa,"Zona ferretera, frente al Óvalo de Mariscal Castilla","10,24","4,80",1280,720,"-16,4033867","-71,5164883",,5.140.766,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-060%20A.webp,7
ATE-032,A,Pantalla Digital,DIGITAL,Lima,Ate,Av. Nicolás Ayllón (C.C. Real Plaza Santa Clara),Hacia Huaycán Chosica.,Próximo a la entrada principal del Centro Comercial Real Plaza Santa Clara.,"7,68","3,84",1280,720,"-12,0151524","-76,8868910",,3.430.941,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ATE-032%20A.webp,7
ATE-039,B,Pantalla Digital,DIGITAL,Lima,Ate,Av. Prolongación Javier Prado Con Av. Vista Alegre,Hacia Av. Nicolás Ayllón con dirección a Hiper Plaza Vea Ceres,Frente a Real Plaza Puruchuco y Tienda Tambo,"12,00","6,00",1280,720,"-12,0433542","-76,9303440",,12.889.020,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ATE-039%20B.webp,7
BCO-004,B,Pantalla Digital,DIGITAL,Lima,Barranco,Av. República De Panamá,Hacia Av. el Sol con dirección al óvalo balta.,A pocas cuadras del Plaza Vea del Cortijo.,"12,10","6,00",1280,720,"-12,1370279","-77,0177362",,7.119.510,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/BCO-004%20B.webp,7
CAL-001,A,Pantalla Digital,DIGITAL,Callao,Callao,Av. Faucett Entrada Al Aeropuerto,Dirección a la Av. Canta Callao.,Frente al Aeropuerto frente al grifo Petroperú.,"12,10","6,05",1280,720,"-12,0215050","-77,1055270",,7.349.644,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CAL-001%20A.webp,7
CAL-014,A,Pantalla Digital,DIGITAL,Callao,Callao,Av. Argentina - Frente A Minka,Hacia el Óvalo centenario.,Frente a Centro Comercial Minka.,"8,00","4,00",1280,720,"-12,0495116","-77,1111113",,3.983.597,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CAL-014%20A.webp,7
CAL-018,A,Pantalla Digital,DIGITAL,Callao,Callao,Av. Faucett,Av. Venezuela hacia Av. Óscar Benavides (Ex Colonial) dirección hacia el Aeropuerto.,Frente a Rodizio y Rokys.,"7,68","3,84",1280,720,"-12,0559932","-77,0975809",,5.559.866,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CAL-018%20A.webp,7
CAL-029,A,Pantalla Digital,DIGITAL,Callao,Callao,Av. Elmer Faucett Con Av. Morales Duárez,Hacia Av. La Marina - San Miguel,Frente a Estadio Politécnico Nacional del Callao,"11,52","5,76",1280,720,"-12,0416265","-77,0991684",,12.797.284,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CAL-029%20A.webp,7
CHI-004,A,Pantalla Digital,DIGITAL,Chiclayo,-,Av. Bolognesi Cdra. 11 Con Grau,Del Cercado de Chiclayo y Aeropuerto.,Frente al Real Plaza Chiclayo.,"10,35","6,00",1280,720,"-6,7762850","-79,8323720",,3.860.494,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CHI-004%20A.webp,7
CHI-031,B,Pantalla Digital,DIGITAL,Chiclayo,-,Av. Josemaría Escriva Balaguer cruce con Panamericana Norte,"Hacia la Carretera Panamericana Norte, Motormundo Chiclayo, concesionario de Camiones, Óvalo Av. Chiclayo Noroeste",Frente al Mall Aventura Chiclayo y Hospital Regional de Lambayeque,"11,52","5,76",1280,720,"-6,7624722","-79,8601546",,1.300.791,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CHI-031%20B.webp,7
CHO-006,A,Pantalla Digital,DIGITAL,Lima,Chorrillos,Av. Prolongación Matellini Con Av. Defensores Del Morro,Con dirección al Circuito de Playas,Esquina Grifo Petroperu e Inversiones La Cruz,"12,00","6,00",1280,720,"-12,1813719","-77,0122280",,4.880.340,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CHO-006%20A.webp,7
CHO-007,A,Pantalla Digital,DIGITAL,Lima,Chorrillos,Av. Paseo De La República Cdra. 09,Con dirección a la Av. Ariosto Matellini,Frente a Centro Comercial Plaza Lima Sur y Metropolitano,"12,82","5,80",1280,720,"-12,1739511","-77,0146979",,6.415.406,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/CHO-007%20A.webp,7
