ELEMENTO,DEPARTAMENTO,DISTRITO,DIRECCION_COMERCIAL,REFERENCIA,LATITUD,LONGITUD,CARA,PANEL_CODE,TIPO,FORMATO,ANCHO,ALTO,TRANSITO,AUDIENCIA,RESOLUTION_WIDTH,RESOLUTION_HEIGHT,PHOTO_URL,OBSERVACION,DAILY_PRICE,BASE_PRICE,CURRENCY,PRICE_PERIOD,MAX_SLOTS,SLOT_DURATION_SECONDS,OPERATING_START_TIME,OPERATING_END_TIME,STATUS
AGS-006,Lima,El Agustino,Vía Evitamiento,Frente a Puente Nuevo próximo a Sodimac de San Juan de Lurigancho,-12.030369,-77.000014,A,AGS-006-A,DIGITAL,Pantalla Digital,12,6,Hacia el sur con dirección al puente Santa Anita,16599236,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/AGS-006%20A.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
ANT-001,Lima,Santa Anita,Av. Nicolás Ayllón (Carretera Central),Frente a Centro Comercial Santa Anita puerta principal Saga Falabella.,-12.057191,-76.970954,B,ANT-001-B,DIGITAL,Pantalla Digital,12.1,6.05,Hacia el Óvalo Santa Anita.,16910554,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ANT-001%20B.webp,Presenta fallas,210,210,PEN,day,23,7,06:00:00,00:00:00,maintenance
ANT-004,Lima,Santa Anita,Av. Nicolas Ayllon (Carretera Central),Frente al Centro Comercial Mall Aventura Ripley Sagafalabella Bancos y más,-12.0568523,-76.9699033,A,ANT-004-A,DIGITAL,Pantalla Digital,8.96,3.84,Hacia Vía Evitamiento con dirección al distrito de El Agustino,13927170,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ANT-004%20A.webp,,210,210,PEN,day,23,7,06:00:00,00:00:00,available
ARQ-044,Arequipa,Lima Metropolitana,Av. Ejército,A 2 cdras. Del Real Plaza / Mall Plaza Cayma / Metro / Plaza Vea.,-16.391131,-71.543354,A,ARQ-044-A,DIGITAL,Pantalla Digital,10.8,5.4,Hacia Av. La Marina con dirección a la Plaza de armas y Monasterio Santa Catalina,4433666,1280,672,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-044%20A.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
ARQ-046,Arequipa,Lima Metropolitana,Av. Los Incas,Frente a la puerta principal del Centro Comercial y Parque Lambramani.,-16.4108478,-71.520306,A,ARQ-046-A,DIGITAL,Pantalla Digital,8,4,Hacia Av. Jesús con dirección a Paucarpata.,2876974,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-046%20A.webp,,120,120,PEN,day,23,7,06:00:00,00:00:00,available
ARQ-051,Arequipa,Lima Metropolitana,Av. El Ejército Cuadra 7 - Yanahuara,Frente al C.C Mall Plaza Cayma y Hotel Paititi rodeado de diversos negocios locales,-16.3904345,-71.5455971,A,ARQ-051-A,DIGITAL,Pantalla Digital,9.6,4.8,Hacia Av. Cayma con dirección al C.C Real Plaza,4244803,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-051%20A.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
ARQ-052,Arequipa,Lima Metropolitana,Óvalo Quiñones,Óvalo Quiñones frente a Red de Bancos y rodeado de diversos negocios locales,-16.397271,-71.547233,A,ARQ-052-A,DIGITAL,Pantalla Digital,7.68,3.84,Hacia Av. La Marina con dirección a la Plaza de Armas,3869953,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-052%20A.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
ARQ-055,Arequipa,Lima Metropolitana,Av. Porongoche Cdra. 5,"Frente al Mall Aventura Plaza, HM y  al costado de estilos",-16.4164748,-71.5155245,A,ARQ-055-A,DIGITAL,Pantalla Digital,12.8,7.7,Hacia Av. Los Incas con dirección al Distrito de Mariano Melgar,3690896,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-055%20A.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
ARQ-060,Arequipa,Lima Metropolitana,Av. Jesús Cdra. 1 Berma Central,"Zona ferretera, frente al Óvalo de Mariscal Castilla",-16.4033867,-71.5164883,A,ARQ-060-A,DIGITAL,Pantalla Digital,10.24,4.8,Hacia Estadio Arequipa,5140766,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-060%20A.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
ATE-032,Lima,Ate,Av. Nicolás Ayllón (C.C. Real Plaza Santa Clara),Próximo a la entrada principal del Centro Comercial Real Plaza Santa Clara.,-12.0151524,-76.886891,A,ATE-032-A,DIGITAL,Pantalla Digital,7.68,3.84,Hacia Huaycán Chosica.,3430941,1280,720,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ATE-032%20A.webp,,150,150,PEN,day,23,7,06:00:00,00:00:00,available
